대학,연도,카테고리,전형,학과,경쟁률,시간서식의심,복원하면
극동대,2022,교과,교과(일반학생),항공안전관리학과,0.4,,
가톨릭관동대,2022,교과,교과(지역인재),항공운항전공,0.7,,
한서대,2022,교과,교과(한서인재),항공인프라시스템학과,0.89,,
극동대,2022,교과,교과(교과우수),해킹보안학과,0.7,,
극동대,2022,교과,교과(일반학생),해킹보안학과,0.9,,
극동대,2022,교과,교과(일반학생),헬리콥터조종학과,0.95,,
인제대,2022,교과,교과(자기추천),헬스케어IT공학과,0.55,,
대구한의대,2022,교과,교과(면접전형),화장품학과,0.8,,
세명대,2022,교과,교과(면접우수),화장품학과,0.6,,
국립군산대,2022,교과,교과(지역인재),화학과,0.8,,
한남대,2022,종합,종합(지역인재),화학과,0.75,,
한서대,2023,교과,교과(한서인재),환경·토목·건축학과,0.58,,
한서대,2024,교과,교과(한서인재),환경·토목·건축학과,0.22,,
한서대,2025,교과,교과(지역인재),환경·토목·건축학과,0.5,,
경상국립대,2022,교과,교과(일반전형),환경산림과학부산림융복합학전공,0.54,,
경상국립대,2023,교과,교과(일반전형),환경산림과학부산림융복합학전공,0.93,,
경남대,2022,교과,교과(한마인재),환경에너지공학과,0.8,,
경주대,2022,교과,교과(일반),환경에너지학과,0.76,,
전북대,2026,실기,실기실적-예체능실기,무용학과(한국무용),0.5,,
전주대,2026,실기,실기/실적(일반학생전형),산업디자인학과,0.8,,
국립목포대,2026,실기,특기자전형,스마트해양·에너지학부(담양),0.075,,
국립목포대,2026,실기,특기자전형,농수산식품학부(담양),0.9743589743589743,,
호남신학대,2026,교과,교과(목회자추천),신학과,0.69,,
호남신학대,2026,교과,교과(일반학생),기독교사회복지상담학과,0.5,,
